ID,City Name,Temperature,Humidity,Cloudiness,Wind,Longitude,Latitude
302,Mabaruma,78.04,87,99,7.34,-59.7833,8.2
303,Saskylakh,30.92,94,97,11.72,114.0833,71.9167
304,Port Lincoln,57.45,71,0,3.44,135.8667,-34.7333
305,Lüderitz,63.7,78,14,2.08,15.1594,-26.6481
306,Mareeba,73.4,100,75,8.05,145.4333,-17.0
307,Sri Aman,77.0,94,80,0.76,111.4621,1.2376
308,São Gotardo,74.01,44,0,3.53,-46.0489,-19.3111
309,Aklavik,37.4,52,20,2.3,-135.0107,68.2191
310,Sankt Florian,55.4,35,60,3.44,14.3784,48.2057
311,Dawson Creek,35.6,38,40,4.61,-120.2362,55.7666
312,Marrakesh,66.2,59,75,13.8,-8.0083,31.6315
313,Coahuayana Viejo,86.0,30,40,8.25,-103.6833,18.7333
314,Chetwayi,84.2,94,75,7.67,76.05,10.5333
315,Dwārka,81.61,79,6,14.34,68.9678,22.2394
316,Ambulu,73.87,86,5,2.64,113.6058,-8.345
317,Nefteyugansk,35.6,100,0,5.46,72.6035,61.0998
318,Prince Rupert,51.8,71,1,4.61,-130.3201,54.3161
319,Sibolga,75.13,90,100,5.26,98.7792,1.7427
320,Srednekolymsk,11.95,93,100,8.88,153.6833,67.45
321,Songea,62.33,97,48,3.02,35.65,-10.6833
322,Kalabo,72.0,45,74,6.71,22.6814,-14.97
323,Xining,40.48,86,100,2.26,101.7667,36.6167
324,Guerrero Negro,67.95,56,3,16.49,-114.0611,27.9769
325,Balakhninskiy,23.95,96,100,2.98,114.2769,58.0106
326,Tromsø,32.0,64,75,6.91,18.957,69.6496
327,Saint-Pierre,78.8,83,20,26.46,55.4781,-21.3393
328,Isangel,78.37,78,98,10.98,169.2667,-19.55
329,Suntar,33.15,90,100,3.49,117.6319,62.1444
330,Meulaboh,75.69,85,100,2.51,96.1285,4.1363
331,Hyères,60.01,55,0,3.89,6.1167,43.1167
332,Fortuna,57.99,71,20,10.36,-124.1573,40.5982
333,Margate,46.0,74,100,3.0,1.3862,51.3813
334,Hay River,26.6,50,100,12.66,-115.7999,60.8156
335,Riyadh,86.0,17,0,7.96,46.7219,24.6877
336,Ponta Delgada,59.0,82,75,9.22,-25.6667,37.7333
337,Rio Grande,75.2,64,40,8.05,-52.0986,-32.035
338,Seredka,35.6,80,75,8.95,28.1858,58.1584
339,Novy Urengoy,30.6,89,100,7.9,76.6333,66.0833
340,Chapais,48.2,40,1,11.5,-74.8492,49.7834
341,Obihiro,47.43,83,99,2.86,143.2044,42.9172
342,Kudahuvadhoo,83.1,66,6,7.85,72.8944,2.6708
343,Xiaoweizhai,56.17,95,100,6.08,107.5125,26.1903
344,Kenai,46.4,65,1,5.75,-151.2583,60.5544
345,Ivdel',41.83,87,100,6.6,60.4206,60.6911
346,Nurota,62.6,29,5,9.22,65.6886,40.5614
347,Talakan,27.48,76,0,4.79,130.3667,50.3167
348,Cedeno,85.24,54,98,1.16,-72.1634,7.0464
349,Novoorsk,46.4,93,75,15.66,58.9813,51.381
350,Tahe,28.2,80,4,3.44,124.7333,52.3333
351,Iqaluit,33.8,80,40,3.44,-68.5145,63.7506
352,Fort Nelson,42.8,28,40,4.61,-122.7002,58.8053
353,Tuyen Quang,78.6,93,96,3.0,105.2181,21.8233
354,Zhezkazgan,44.55,32,80,15.61,67.7144,47.8043
355,Ous,42.15,85,100,7.09,61.5186,60.9058
356,Ulaangom,34.32,46,97,18.86,92.0667,49.9811
357,Yumen,48.43,37,80,5.91,97.2,40.2833
358,Sambava,75.38,88,30,9.06,50.1667,-14.2667
359,North Bend,57.0,71,90,16.11,-124.2243,43.4065
360,Voh,73.89,92,100,6.33,164.7,-20.9667
361,Supaul,82.17,25,2,7.52,86.6,26.1167
362,Airai,57.2,92,58,2.75,125.4092,-8.9266
363,Quatre Cocos,79.0,83,75,17.27,57.7625,-20.2078
364,Penukonda,80.11,58,70,9.17,77.5833,14.0833
365,Morehead,53.6,94,90,3.44,-87.1764,37.2711
366,Santa Rosa,80.6,83,20,3.2,121.1114,14.3122
367,Zharkent,42.37,26,58,5.91,80.0,44.1628
368,Brae,42.8,75,75,10.36,-1.353,60.3964
369,Port-Cartier,50.0,46,75,16.11,-66.8654,50.0334
370,Hervey Bay,60.01,87,0,3.0,152.8535,-25.2986
371,Necochea,61.0,78,63,11.01,-58.7368,-38.5473
372,Sokoni,79.14,80,100,8.39,39.55,-6.4333
373,Barra do Corda,79.74,93,100,3.8,-45.25,-5.5
374,Isla Mujeres,87.8,62,75,11.5,-86.731,21.2311
375,Moengo,76.19,95,100,5.14,-54.4,5.6167
376,Stranda,35.01,89,82,0.56,6.9358,62.3096
377,Verkhotur'ye,40.82,78,100,7.0,60.8054,58.8627
378,Itoman,68.0,83,40,10.36,127.6694,26.1247
379,Shache,60.57,11,100,3.06,77.2406,38.4167
380,Tura,75.07,36,100,3.96,90.2201,25.5198
381,Coyhaique,57.2,62,75,8.05,-72.0662,-45.5752
